Time (s);Identifier;Duration
0.0000000000e+000;32769;0.0000000000e+000
5.0000000000e+000;32775;0.0000000000e+000
5.0000000000e+000;33282;0.0000000000e+000
2.5000000000e+001;32776;0.0000000000e+000
2.5000000000e+001;33282;0.0000000000e+000
3.0000000000e+001;768;0.0000000000e+000
3.0000000000e+001;786;0.0000000000e+000
3.2000000000e+001;33282;0.0000000000e+000
3.3000000000e+001;770;0.0000000000e+000
3.4250000000e+001;781;0.0000000000e+000
3.8000000000e+001;800;0.0000000000e+000
3.9000000000e+001;768;0.0000000000e+000
3.9000000000e+001;786;0.0000000000e+000
4.1000000000e+001;33282;0.0000000000e+000
4.2000000000e+001;769;0.0000000000e+000
4.3250000000e+001;781;0.0000000000e+000
4.7000000000e+001;800;0.0000000000e+000
4.9000000000e+001;768;0.0000000000e+000
4.9000000000e+001;786;0.0000000000e+000
5.1000000000e+001;33282;0.0000000000e+000
5.2000000000e+001;769;0.0000000000e+000
5.3250000000e+001;781;0.0000000000e+000
5.7000000000e+001;800;0.0000000000e+000
5.8000000000e+001;768;0.0000000000e+000
5.8000000000e+001;786;0.0000000000e+000
6.0000000000e+001;33282;0.0000000000e+000
6.1000000000e+001;769;0.0000000000e+000
6.2250000000e+001;781;0.0000000000e+000
6.6000000000e+001;800;0.0000000000e+000
6.9000000000e+001;768;0.0000000000e+000
6.9000000000e+001;786;0.0000000000e+000
7.1000000000e+001;33282;0.0000000000e+000
7.2000000000e+001;770;0.0000000000e+000
7.3250000000e+001;781;0.0000000000e+000
7.7000000000e+001;800;0.0000000000e+000
7.9000000000e+001;768;0.0000000000e+000
7.9000000000e+001;786;0.0000000000e+000
8.1000000000e+001;33282;0.0000000000e+000
8.2000000000e+001;769;0.0000000000e+000
8.3250000000e+001;781;0.0000000000e+000
8.7000000000e+001;800;0.0000000000e+000
8.9000000000e+001;768;0.0000000000e+000
8.9000000000e+001;786;0.0000000000e+000
9.1000000000e+001;33282;0.0000000000e+000
9.2000000000e+001;770;0.0000000000e+000
9.3250000000e+001;781;0.0000000000e+000
9.7000000000e+001;800;0.0000000000e+000
9.9000000000e+001;768;0.0000000000e+000
9.9000000000e+001;786;0.0000000000e+000
1.0100000000e+002;33282;0.0000000000e+000
1.0200000000e+002;770;0.0000000000e+000
1.0325000000e+002;781;0.0000000000e+000
1.0700000000e+002;800;0.0000000000e+000
1.1000000000e+002;768;0.0000000000e+000
1.1000000000e+002;786;0.0000000000e+000
1.1200000000e+002;33282;0.0000000000e+000
1.1300000000e+002;770;0.0000000000e+000
1.1425000000e+002;781;0.0000000000e+000
1.1800000000e+002;800;0.0000000000e+000
1.2100000000e+002;768;0.0000000000e+000
1.2100000000e+002;786;0.0000000000e+000
1.2300000000e+002;33282;0.0000000000e+000
1.2400000000e+002;769;0.0000000000e+000
1.2525000000e+002;781;0.0000000000e+000
1.2900000000e+002;800;0.0000000000e+000
1.3200000000e+002;768;0.0000000000e+000
1.3200000000e+002;786;0.0000000000e+000
1.3400000000e+002;33282;0.0000000000e+000
1.3500000000e+002;770;0.0000000000e+000
1.3625000000e+002;781;0.0000000000e+000
1.4000000000e+002;800;0.0000000000e+000
1.4100000000e+002;768;0.0000000000e+000
1.4100000000e+002;786;0.0000000000e+000
1.4300000000e+002;33282;0.0000000000e+000
1.4400000000e+002;770;0.0000000000e+000
1.4525000000e+002;781;0.0000000000e+000
1.4900000000e+002;800;0.0000000000e+000
1.5200000000e+002;768;0.0000000000e+000
1.5200000000e+002;786;0.0000000000e+000
1.5400000000e+002;33282;0.0000000000e+000
1.5500000000e+002;770;0.0000000000e+000
1.5625000000e+002;781;0.0000000000e+000
1.6000000000e+002;800;0.0000000000e+000
1.6300000000e+002;768;0.0000000000e+000
1.6300000000e+002;786;0.0000000000e+000
1.6500000000e+002;33282;0.0000000000e+000
1.6600000000e+002;770;0.0000000000e+000
1.6725000000e+002;781;0.0000000000e+000
1.7100000000e+002;800;0.0000000000e+000
1.7300000000e+002;768;0.0000000000e+000
1.7300000000e+002;786;0.0000000000e+000
1.7500000000e+002;33282;0.0000000000e+000
1.7600000000e+002;770;0.0000000000e+000
1.7725000000e+002;781;0.0000000000e+000
1.8100000000e+002;800;0.0000000000e+000
1.8200000000e+002;768;0.0000000000e+000
1.8200000000e+002;786;0.0000000000e+000
1.8400000000e+002;33282;0.0000000000e+000
1.8500000000e+002;769;0.0000000000e+000
1.8625000000e+002;781;0.0000000000e+000
1.9000000000e+002;800;0.0000000000e+000
1.9100000000e+002;768;0.0000000000e+000
1.9100000000e+002;786;0.0000000000e+000
1.9300000000e+002;33282;0.0000000000e+000
1.9400000000e+002;770;0.0000000000e+000
1.9525000000e+002;781;0.0000000000e+000
1.9900000000e+002;800;0.0000000000e+000
2.0000000000e+002;768;0.0000000000e+000
2.0000000000e+002;786;0.0000000000e+000
2.0200000000e+002;33282;0.0000000000e+000
2.0300000000e+002;770;0.0000000000e+000
2.0425000000e+002;781;0.0000000000e+000
2.0800000000e+002;800;0.0000000000e+000
2.1000000000e+002;768;0.0000000000e+000
2.1000000000e+002;786;0.0000000000e+000
2.1200000000e+002;33282;0.0000000000e+000
2.1300000000e+002;770;0.0000000000e+000
2.1425000000e+002;781;0.0000000000e+000
2.1800000000e+002;800;0.0000000000e+000
2.1900000000e+002;768;0.0000000000e+000
2.1900000000e+002;786;0.0000000000e+000
2.2100000000e+002;33282;0.0000000000e+000
2.2200000000e+002;769;0.0000000000e+000
2.2325000000e+002;781;0.0000000000e+000
2.2700000000e+002;800;0.0000000000e+000
2.2800000000e+002;768;0.0000000000e+000
2.2800000000e+002;786;0.0000000000e+000
2.3000000000e+002;33282;0.0000000000e+000
2.3100000000e+002;770;0.0000000000e+000
2.3225000000e+002;781;0.0000000000e+000
2.3600000000e+002;800;0.0000000000e+000
2.3900000000e+002;768;0.0000000000e+000
2.3900000000e+002;786;0.0000000000e+000
2.4100000000e+002;33282;0.0000000000e+000
2.4200000000e+002;769;0.0000000000e+000
2.4325000000e+002;781;0.0000000000e+000
2.4700000000e+002;800;0.0000000000e+000
2.4900000000e+002;768;0.0000000000e+000
2.4900000000e+002;786;0.0000000000e+000
2.5100000000e+002;33282;0.0000000000e+000
2.5200000000e+002;770;0.0000000000e+000
2.5325000000e+002;781;0.0000000000e+000
2.5700000000e+002;800;0.0000000000e+000
2.5800000000e+002;768;0.0000000000e+000
2.5800000000e+002;786;0.0000000000e+000
2.6000000000e+002;33282;0.0000000000e+000
2.6100000000e+002;770;0.0000000000e+000
2.6225000000e+002;781;0.0000000000e+000
2.6600000000e+002;800;0.0000000000e+000
2.6700000000e+002;768;0.0000000000e+000
2.6700000000e+002;786;0.0000000000e+000
2.6900000000e+002;33282;0.0000000000e+000
2.7000000000e+002;769;0.0000000000e+000
2.7125000000e+002;781;0.0000000000e+000
2.7500000000e+002;800;0.0000000000e+000
2.7600000000e+002;768;0.0000000000e+000
2.7600000000e+002;786;0.0000000000e+000
2.7800000000e+002;33282;0.0000000000e+000
2.7900000000e+002;769;0.0000000000e+000
2.8025000000e+002;781;0.0000000000e+000
2.8400000000e+002;800;0.0000000000e+000
2.8600000000e+002;768;0.0000000000e+000
2.8600000000e+002;786;0.0000000000e+000
2.8800000000e+002;33282;0.0000000000e+000
2.8900000000e+002;770;0.0000000000e+000
2.9025000000e+002;781;0.0000000000e+000
2.9400000000e+002;800;0.0000000000e+000
2.9600000000e+002;768;0.0000000000e+000
2.9600000000e+002;786;0.0000000000e+000
2.9800000000e+002;33282;0.0000000000e+000
2.9900000000e+002;770;0.0000000000e+000
3.0025000000e+002;781;0.0000000000e+000
3.0400000000e+002;800;0.0000000000e+000
3.0600000000e+002;768;0.0000000000e+000
3.0600000000e+002;786;0.0000000000e+000
3.0800000000e+002;33282;0.0000000000e+000
3.0900000000e+002;769;0.0000000000e+000
3.1025000000e+002;781;0.0000000000e+000
3.1400000000e+002;800;0.0000000000e+000
3.1600000000e+002;768;0.0000000000e+000
3.1600000000e+002;786;0.0000000000e+000
